,strain,High,Low
0,blue-dream,1,0
1,gelato,1,0
2,sour-diesel,1,0
3,wedding-cake,1,0
4,gsc,1,0
5,purple-punch,1,0
6,og-kush,1,0
7,original-glue,1,0
8,jack-herer,1,0
9,green-crack,1,0
10,granddaddy-purple,1,0
11,white-widow,1,0
12,sunset-sherbert,1,0
13,pineapple-express,1,0
14,zkittlez,1,0
15,northern-lights,1,0
16,mimosa,1,0
17,do-si-dos,1,0
18,bubba-kush,1,0
19,durban-poison,1,0
20,forbidden-fruit,1,0
21,chemdawg,1,0
22,ak-47,1,0
23,trainwreck,1,0
24,super-lemon-haze,1,0
25,amnesia-haze,1,0
26,lemon-haze,1,0
27,stardawg,1,0
28,cherry-pie,1,0
29,bruce-banner,1,0
30,strawberry-cough,1,0
31,blue-cookies,1,0
32,mendo-breath,1,0
33,9-pound-hammer,1,0
34,blueberry,1,0
35,super-silver-haze,1,0
36,mac,1,0
37,ice-cream-cake,1,0
38,sfv-og,1,0
39,alien-og,1,0
40,animal-cookies,1,0
41,alaskan-thunder-fuck,1,0
42,tangie,1,0
43,ghost-train-haze,1,0
44,grape-ape,1,0
45,blue-cheese,1,0
46,birthday-cake-kush,1,0
47,tahoe-og,1,0
48,king-louis,1,0
49,candyland,1,0
50,master-kush,1,0
51,strawberry-banana,1,0
52,banana-kush,1,0
53,sundae-driver,1,0
54,gmo-cookies,1,0
55,fire-og,1,0
56,purple-kush,1,0
57,cookies-and-cream,1,0
58,headband,1,0
59,g-13,1,0
60,la-confidential,1,0
61,harlequin,10 ,7
62,platinum-gsc,1,0
63,maui-wowie,1,0
64,platinum-og,1,0
65,berry-white,1,0
66,purple-haze,1,0
67,white-fire-og,1,0
68,bubble-gum,1,0
69,cinderella-99,1,0
70,cookies-kush,1,0
71,zookies,1,0
72,cheese,1,0
73,jet-fuel,1,0
74,mango-kush,1,0
75,lsd,1,0
76,lemon-og,1,0
77,grease-monkey,1,0
78,kosher-kush,1,0
79,critical-kush,1,0
