,strain,Dry,Paranoid,Dizzy,Anxious,Headache
0,blue-dream,eyes,7,7,4,0
1,gelato,eyes,4,5,4,0
2,sour-diesel,eyes,10,8,0,5
3,wedding-cake,eyes,2,6,3,0
4,gsc,eyes,5,5,4,0
5,purple-punch,eyes,0,7,3,3
6,og-kush,eyes,9,9,0,5
7,original-glue,eyes,5,5,4,0
8,jack-herer,eyes,6,6,4,0
9,green-crack,eyes,9,6,7,0
10,granddaddy-purple,eyes,5,7,0,3
11,white-widow,eyes,8,9,4,0
12,sunset-sherbert,eyes,3,4,4,0
13,runtz,eyes,0,7,3,1
14,pineapple-express,eyes,6,6,4,0
15,zkittlez,eyes,0,3,3,3
16,northern-lights,eyes,5,8,0,3
17,mimosa,eyes,2,3,3,0
18,do-si-dos,eyes,3,7,2,0
19,bubba-kush,eyes,7,10,0,4
20,durban-poison,eyes,6,5,6,0
21,forbidden-fruit,eyes,1,1,0,1
22,chemdawg,eyes,5,8,4,0
23,ak-47,eyes,9,10,0,6
24,trainwreck,eyes,10,11,5,0
25,super-lemon-haze,eyes,8,6,6,0
26,amnesia-haze,eyes,15,13,6,0
27,lemon-haze,eyes,10,10,6,0
28,stardawg,eyes,2,10,4,0
29,cherry-pie,eyes,4,6,4,0
30,bruce-banner,eyes,4,6,4,0
31,strawberry-cough,eyes,5,6,0,3
32,blue-cookies,eyes,2,4,0,2
33,mendo-breath,eyes,3,6,4,0
34,9-pound-hammer,eyes,0,4,1,2
35,blueberry,eyes,5,7,0,3
36,super-silver-haze,eyes,8,9,5,0
37,mac,eyes,1,5,0,0
38,ice-cream-cake,eyes,3,3,1,0
39,sfv-og,eyes,0,5,3,3
40,alien-og,eyes,6,6,0,4
41,animal-cookies,eyes,4,0,5,4
42,alaskan-thunder-fuck,eyes,7,8,0,4
43,tangie,eyes,2,3,5,0
44,ghost-train-haze,eyes,6,7,10,0
45,grape-ape,eyes,4,6,0,3
46,blue-cheese,eyes,5,8,0,5
47,birthday-cake-kush,eyes,5,5,5,0
48,tahoe-og,eyes,3,7,0,3
49,king-louis,eyes,3,5,0,3
50,candyland,eyes,3,4,5,0
51,master-kush,eyes,7,7,0,3
52,strawberry-banana,eyes,3,3,4,0
53,banana-kush,eyes,5,7,0,4
54,sundae-driver,eyes,4,2,2,0
55,gmo-cookies,eyes,3,7,3,0
56,fire-og,eyes,6,9,4,0
57,purple-kush,eyes,10,10,0,5
58,cookies-and-cream,eyes,1,5,3,0
59,headband,eyes,6,9,0,9
60,g-13,eyes,6,8,0,4
61,la-confidential,eyes,6,7,0,3
62,harlequin,eyes,0,4,4,3
63,platinum-gsc,eyes,3,4,4,0
64,maui-wowie,eyes,4,5,3,0
65,platinum-og,eyes,5,8,3,0
66,berry-white,eyes,4,4,3,0
67,purple-haze,eyes,10,12,0,7
68,white-fire-og,eyes,3,4,5,0
69,bubble-gum,eyes,7,9,0,6
70,cinderella-99,eyes,9,5,5,0
71,cookies-kush,eyes,4,10,2,0
72,cheese,eyes,10,10,0,6
73,jet-fuel,eyes,4,5,5,0
74,mango-kush,eyes,7,9,0,4
75,lsd,eyes,7,10,6,0
76,lemon-og,eyes,5,6,5,0
77,grease-monkey,eyes,0,3,2,1
78,kosher-kush,eyes,3,6,1,0
79,critical-kush,eyes,3,7,4,0
80,lemon-kush,eyes,10,10,6,0
81,white-rhino,eyes,7,7,0,6
82,pink-kush,eyes,4,5,4,0
83,acdc,eyes,0,2,2,2
84,slurricane,mouth,0,3,0,0
85,gelato-33,eyes,0,8,1,1
86,ghost-og,eyes,4,3,0,3
87,thin-mint,eyes,5,6,5,0
88,blackberry-kush,eyes,3,5,0,5
89,wedding-crasher,eyes,0,5,1,3
90,acapulco-gold,eyes,6,4,5,0
91,superglue,eyes,0,5,4,2
92,afghan-kush,eyes,9,13,0,6
