,strain,Myrcene,Pinene,Caryophyllene,Limonene,Humulene,Terpinolene,Linalool,Ocimene
0,blue-dream,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,gelato,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
2,sour-diesel,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
3,wedding-cake,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
4,gsc,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
5,purple-punch,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
6,og-kush,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
7,original-glue,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
8,jack-herer,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
9,green-crack,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
10,granddaddy-purple,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
11,white-widow,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
12,sunset-sherbert,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
13,runtz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,pineapple-express,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
15,zkittlez,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
16,northern-lights,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
17,mimosa,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
18,do-si-dos,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
19,bubba-kush,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
20,durban-poison,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
21,forbidden-fruit,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
22,chemdawg,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
23,ak-47,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
24,trainwreck,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
25,super-lemon-haze,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
26,amnesia-haze,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
27,lemon-haze,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
28,stardawg,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
29,cherry-pie,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
