,strain,High,Low
0,blue-dream,20 ,16
1,gelato,20 ,14
2,sour-diesel,20 ,16
3,wedding-cake,24 ,17
4,gsc,21 ,16
5,purple-punch,20 ,16
6,og-kush,20 ,16
7,original-glue,22 ,18
8,jack-herer,19 ,15
9,green-crack,18 ,15
10,granddaddy-purple,19 ,15
11,white-widow,18 ,14
12,sunset-sherbert,20 ,16
13,pineapple-express,19 ,14
14,zkittlez,20 ,16
15,northern-lights,19 ,14
16,mimosa,22 ,18
17,do-si-dos,22 ,18
18,bubba-kush,19 ,14
19,durban-poison,19 ,14
20,forbidden-fruit,17 ,14
21,chemdawg,22 ,16
22,ak-47,18 ,14
23,trainwreck,19 ,14
24,super-lemon-haze,20 ,15
25,amnesia-haze,20 ,16
26,lemon-haze,19 ,16
27,stardawg,22 ,18
28,cherry-pie,18 ,14
29,bruce-banner,25 ,19
30,strawberry-cough,19 ,15
31,blue-cookies,21 ,14
32,mendo-breath,21 ,15
33,9-pound-hammer,20 ,16
34,blueberry,19 ,14
35,super-silver-haze,20 ,15
36,mac,24 ,19
37,ice-cream-cake,24 ,19
38,sfv-og,21 ,17
39,alien-og,20 ,13
40,animal-cookies,21 ,17
41,alaskan-thunder-fuck,19 ,14
42,tangie,19 ,14
43,ghost-train-haze,19 ,14
44,grape-ape,19 ,14
45,blue-cheese,18 ,14
46,birthday-cake-kush,19 ,16
47,tahoe-og,20 ,15
48,king-louis,21 ,18
49,candyland,21 ,16
50,master-kush,19 ,15
51,strawberry-banana,23 ,18
52,banana-kush,20 ,17
53,sundae-driver,23 ,19
54,gmo-cookies,24 ,17
55,fire-og,21 ,16
56,purple-kush,18 ,13
57,cookies-and-cream,23 ,18
58,headband,21 ,16
59,g-13,19 ,17
60,la-confidential,18 ,15
61,harlequin,6 ,3
62,platinum-gsc,20 ,15
63,maui-wowie,19 ,15
64,platinum-og,20 ,17
65,berry-white,18 ,14
66,purple-haze,18 ,14
67,white-fire-og,23 ,17
68,bubble-gum,18 ,14
